Libelle,Categorie,Code,Price,MA50,MA150,1M,3M,6M,Ulcer,Ulcer50,Ulcer200
Amundi Emerging,,AEEM.PA
Lyxor MSCI World,,EWLD.PA
ALLIANZ IMMO C,,FR0000011959.PA
KEREN CORPORATE R,,FR0010697532.PA
LYXOR ETF EUR CORP BND EX FINANC,,CNB.PA
MONETA MULTI CAPS C,,FR0010298596.PA
Lyxor Brazil (Ibovespa) UCITS ETF C-EUR,Actions Brésil,RIO.PA
Lyxor China Enterprise (HSCEI) UCITS ETF C-EUR,Actions Chine,ASI.PA
Lyxor DAX (DR) UCITS ETF,Actions Allemagne Gdes Cap.,DAX.PA
Lyxor Euro Stoxx 50 (DR) UCITS ETF D-EUR,Actions Zone Euro Grandes Cap.,MSE.PA
Lyxor Index Fund Euro,Actions Zone Euro Grandes Cap.,FR0000443392.PA
Lyxor JPX-Nikkei 400 UCITS ETF (DR) C-EUR,Actions Japon Grandes Cap.,JPX4.PA
Lyxor MSCI Emerging Markets UCITS ETF C-EUR,Actions Marchés Emergents,LEM.PA
Lyxor S&P 500 UCITS ETF - D-EUR,Actions Etats-Unis Gdes Cap. Mixte,SP5.PA
Lyxor UCITS ETF CAC 40 (DR) D-EUR,Actions France Grandes Cap.,CAC.PA
Lyxor UCITS ETF DJ Global Titans 50 D-EUR,Actions International Gdes Cap. Mixte,MGT.PA
Lyxor UCITS ETF Dow Jones Industrial Average D-EUR,Actions Etats-Unis Gdes Cap. Mixte,DJE.PA
Lyxor UCITS ETF Euro Stoxx Banks C EUR,Actions Secteur Finance,BNKE.PA
Lyxor UCITS ETF EuroMTS 3-5Y Investment Grade (DR),Obligations EUR Emprunts d'Etat,MTB.PA
Lyxor UCITS ETF FTSE 100 C-GBP,Actions Royaume-Uni Gdes Cap. Mixte,L100.PA
Lyxor UCITS ETF FTSE MIB,Actions Italie,MIB.PA
Lyxor UCITS ETF MSCI AC Asia-Pacific ex Japan C-EUR,Actions Asie-Pacifique hors Japon,AEJ.PA
Lyxor UCITS ETF MSCI EM Latin America C-EUR,Actions Amérique Latine,LTM.PA
Lyxor UCITS ETF MSCI EMU Small Cap,Actions Zone Euro Petites Cap.,MMS.PA
Lyxor UCITS ETF MSCI EMU Value,Actions Zone Euro Grandes Cap.,VAL.PA
Lyxor UCITS ETF MSCI World D-EUR,Actions International Gdes Cap. Mixte,WLD.PA
Lyxor UCITS ETF NASDAQ-100 D-EUR,Actions Etats-Unis Gdes Cap. Croissance,UST.PA
Lyxor UCITS ETF Russia (Dow Jones Russia GDR) C-EUR,Actions Russie,RUS.PA
Lyxor UCITS ETF Stoxx Europe 600 Banks,Actions Secteur Finance,BNK.PA
Lyxor UCITS ETF Stoxx Europe 600 Basic Resources,Actions Secteur Matériaux & Industrie,BRE.PA
Lyxor UCITS ETF Stoxx Europe 600 Healthcare,Actions Secteur Santé,HLT.PA
Lyxor UCITS ETF Stoxx Europe 600 Oil & Gas,Actions Secteur Energie,OIL.PA
Lyxor UCITS ETF Stoxx Europe 600 Telecommunications,Actions Secteur Communication,TEL.PA
Lyxor UCITS ETF Stoxx Europe 600 Utilities,Actions Secteur Services Publics,UTI.PA
Lyxor UCITS ETF Thailand (SET50 Net TR) C-EUR,Actions Thaïlande,THA.PA
Lyxor UCITS ETF iBoxx $ Treasuries 10Y + (DR),Obligations USD Emprunts d'Etat,US10.PA
Lyxor UCITS ETF iBoxx Liquid High Yield 30 Ex-Financial,Obligations EUR Haut Rendement,YIEL.PA